Date,CO,CO_percent,NO2,NO2_percent,Ozone,PM2.5,Number,AQI_Category,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all
2021-11-11,23,96.0,23.0,96.0,23.0,52.0,2.0,Moderate,287.85083333333336,285.07875,287.56666666666666,287.1254166666667,288.6516666666667,1025.6666666666667,83.875,2.0,249.58333333333331,2.5700000000000003,,,,,11.791666666666666
2021-11-11,24,100.0,23.0,96.0,23.0,52.0,2.0,Moderate,287.85083333333336,285.07875,287.56666666666666,287.1254166666667,288.6516666666667,1025.6666666666667,83.875,2.0,249.58333333333331,2.5700000000000003,,,,,11.791666666666666
2021-11-12,24,100.0,23.0,96.0,20.0,57.0,2.0,Moderate,287.45666666666665,286.06583333333333,287.34208333333333,286.77958333333333,288.14916666666664,1023.7083333333334,91.91666666666669,2.1733333333333333,185.16666666666663,1.34,,,,,48.708333333333336
2021-11-12,23,96.0,23.0,96.0,20.0,57.0,2.0,Moderate,287.45666666666665,286.06583333333333,287.34208333333333,286.77958333333333,288.14916666666664,1023.7083333333334,91.91666666666669,2.1733333333333333,185.16666666666663,1.34,,,,,48.708333333333336
2021-11-13,23,96.0,23.0,96.0,14.0,65.0,2.0,Moderate,287.0783333333333,286.10625,286.98791666666665,286.5225,287.5883333333333,1022.25,94.29166666666669,2.04375,174.625,2.98,,,,,54.208333333333336
2021-11-13,24,100.0,23.0,96.0,14.0,65.0,2.0,Moderate,287.0783333333333,286.10625,286.98791666666665,286.5225,287.5883333333333,1022.25,94.29166666666669,2.04375,174.625,2.98,,,,,54.208333333333336
2021-11-14,24,100.0,23.0,96.0,14.0,68.0,2.0,Moderate,287.25458333333336,285.6191666666667,287.0808333333333,286.585,288.03000000000003,1020.9583333333334,90.41666666666669,2.3425,186.58333333333331,3.511428571428571,,,,,67.625
2021-11-14,23,96.0,23.0,96.0,14.0,68.0,2.0,Moderate,287.25458333333336,285.6191666666667,287.0808333333333,286.585,288.03000000000003,1020.9583333333334,90.41666666666669,2.3425,186.58333333333331,3.511428571428571,,,,,67.625
2021-11-15,24,100.0,17.0,71.0,13.0,71.0,2.0,Moderate,286.1695833333333,284.71250000000003,285.9058333333333,285.305,287.0366666666667,1019.625,91.08333333333331,1.122083333333333,279.3333333333333,2.42,0.25,,,,98.375
2021-11-15,23,96.0,17.0,71.0,13.0,71.0,2.0,Moderate,286.1695833333333,284.71250000000003,285.9058333333333,285.305,287.0366666666667,1019.625,91.08333333333331,1.122083333333333,279.3333333333333,2.42,0.25,,,,98.375
