date_local,CO,CO_percent,NO2,NO2_percent,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,OZONE,PM2.5,Number,Category_Name,Ozone,AQI_Category
2015-02-22,24.0,100.0,23.0,96.0,286.34,282.15875,285.88125,285.4866666666667,287.1,1010.875,79.20833333333333,1.89125,181.375,,,,,,45.833333333333336,31.0,33.0,1.0,Good,,
2015-02-23,23.0,96.0,23.0,96.0,287.0145833333333,274.19541666666663,285.54291666666666,286.3258333333333,287.77791666666667,1013.9583333333334,41.583333333333336,4.839166666666666,167.20833333333334,,,,,,0.1666666666666666,31.0,24.0,1.0,Good,,
2015-02-24,24.0,100.0,23.0,96.0,285.3641666666667,275.7270833333333,284.3383333333333,284.50166666666667,286.25,1024.5416666666667,52.75,2.3487500000000003,225.16666666666663,,,,,,0.0,29.0,34.0,1.0,Good,,
2015-02-25,24.0,100.0,23.0,96.0,284.915,282.22041666666667,284.35875,283.90791666666667,285.97375,1024.875,84.54166666666667,2.2275,229.20833333333337,,,,,,54.875,28.0,52.0,1.5,Good,,
2015-02-26,23.0,96.0,23.0,96.0,286.7875,284.07625,286.52708333333334,285.71583333333336,287.89708333333334,1018.25,84.25,2.7225,269.5833333333333,,,,,,59.083333333333336,29.0,56.0,1.5,Good,,
2015-02-27,23.0,96.0,23.0,96.0,287.86083333333335,284.69416666666666,287.5175,287.22791666666666,288.53791666666666,1012.0416666666666,81.58333333333333,7.094166666666666,302.7083333333333,,,,,,19.08333333333333,33.0,20.0,1.0,Good,,
2015-02-28,24.0,100.0,23.0,96.0,285.22208333333333,281.59875,284.295,284.4795833333333,285.79041666666666,1007.8333333333334,78.66666666666667,5.153333333333333,281.2083333333333,,0.3,,,,18.83333333333333,31.0,23.0,1.0,Good,,
2015-03-01,19.0,79.0,19.0,79.0,284.99375000000003,280.46208333333334,284.16416666666663,284.3441666666667,285.67125,1013.125,75.58333333333333,1.86,154.66666666666666,,0.295,,,,17.958333333333332,30.0,26.0,1.0,Good,,
2015-03-02,23.0,96.0,23.0,96.0,285.51916666666665,282.1275,284.6979166666667,284.7425,286.2683333333333,1011.375,80.66666666666667,3.1129166666666666,261.5416666666667,,,,,,55.625,35.0,42.0,1.0,Good,,
2015-03-03,23.0,96.0,23.0,96.0,285.1725,280.9629166666667,284.6458333333333,284.28833333333336,286.07958333333335,1015.0416666666666,76.20833333333333,1.2891666666666668,182.79166666666663,,,,,,9.708333333333334,29.0,44.0,1.0,Good,,
2015-03-04,24.0,100.0,23.0,96.0,285.42875,281.9775,284.79125,284.55958333333336,286.3175,1017.75,81.0,1.9925,237.75,,,,,,23.625,28.0,48.0,1.0,Good,,
2015-03-05,24.0,100.0,23.0,96.0,286.2129166666667,282.0233333333333,285.4116666666667,285.4825,287.0079166666667,1023.9166666666666,77.95833333333333,2.2495833333333333,131.375,,,,,,3.6666666666666665,36.0,48.0,1.0,Good,,
2015-03-06,23.0,96.0,23.0,96.0,287.35375,282.37875,286.74833333333333,286.53375,288.06416666666667,1024.875,74.08333333333333,2.2,195.08333333333337,,,,,,10.333333333333334,33.0,53.0,1.5,Good,,
2015-03-07,23.0,96.0,23.0,96.0,287.11791666666664,283.4008333333333,286.82916666666665,286.04375,288.09791666666666,1019.9166666666666,80.41666666666667,2.0116666666666667,214.75,,,,,,28.041666666666668,34.0,54.0,1.5,Good,,
2015-03-08,23.0,96.0,23.0,96.0,287.0154166666667,284.705,286.74,286.1325,287.83458333333334,1018.0,87.41666666666667,2.2670833333333333,290.6666666666667,,,,,,44.083333333333336,31.0,56.0,1.5,Good,,
2015-03-09,22.0,92.0,22.0,92.0,286.93541666666664,284.91541666666666,286.6741666666667,286.185,287.6608333333333,1016.625,88.25,2.605833333333333,268.5,,,,,,59.41666666666666,24.0,58.0,1.5,Moderate,,
2015-03-10,23.0,96.0,23.0,96.0,286.26958333333334,284.68416666666667,286.09,285.60625,286.8354166666667,1014.125,90.79166666666669,1.8583333333333336,216.95833333333337,,,,,,70.66666666666667,30.0,64.0,1.5,Good,,
2015-03-11,24.0,100.0,23.0,96.0,287.54375,284.93583333333333,287.245,286.9504166666666,287.98041666666666,1017.4166666666666,84.5,2.4833333333333334,208.875,,0.295,,,,86.91666666666667,33.0,52.0,1.5,Good,,
2015-03-12,24.0,100.0,23.0,96.0,288.1166666666667,286.1154166666667,287.9833333333333,287.36875000000003,288.81875,1023.625,88.625,1.862083333333333,304.7916666666667,,,,,,38.75,24.0,34.0,1.0,Good,,
2015-03-13,23.0,96.0,23.0,96.0,289.06583333333333,287.14625,289.04833333333335,288.3066666666667,289.8520833333333,1020.7083333333334,89.41666666666667,1.8883333333333336,207.875,,,,,,75.33333333333333,21.0,49.0,1.0,Good,,
2015-03-14,24.0,100.0,23.0,96.0,291.215,288.7733333333333,291.34291666666667,290.38916666666665,292.01125,1018.7083333333334,86.79166666666667,1.6449999999999998,202.83333333333337,,,,,,86.875,37.0,52.0,1.5,Good,,
2015-03-15,24.0,100.0,23.0,96.0,291.97083333333336,288.76875,292.0495833333333,291.17541666666665,292.7083333333333,1016.3333333333334,82.04166666666667,2.92375,219.41666666666663,,,,,,95.04166666666669,32.0,24.0,1.0,Good,,
2015-03-16,23.0,96.0,23.0,96.0,289.1475,286.05291666666665,288.9533333333333,288.42,289.87833333333333,1016.875,82.41666666666667,1.7275,251.33333333333337,,,,,,98.875,30.0,41.0,1.0,Good,,
2015-03-17,23.0,96.0,23.0,96.0,289.2004166666667,286.22083333333336,289.0366666666667,288.6225,289.7583333333333,1017.9583333333334,83.33333333333333,3.806666666666666,295.0,,,,,,88.91666666666667,32.0,28.0,1.0,Good,,
