date_local,CO,CO_percent,NO2,NO2_percent
2016-05-29,24.0,100.0,23.0,96.0
2016-05-30,24.0,100.0,23.0,96.0
2016-05-31,23.0,96.0,23.0,96.0
2016-06-01,24.0,100.0,23.0,96.0
2016-06-02,24.0,100.0,23.0,96.0
2016-06-03,24.0,100.0,23.0,96.0
2016-06-04,23.0,96.0,23.0,96.0
2016-06-05,23.0,96.0,23.0,96.0
2016-06-06,23.0,96.0,23.0,96.0
2016-06-07,23.0,96.0,23.0,96.0
2016-06-08,24.0,100.0,23.0,96.0
2016-06-09,23.0,96.0,23.0,96.0
2016-06-10,24.0,100.0,23.0,96.0
2016-06-11,23.0,96.0,23.0,96.0
2016-06-12,24.0,100.0,23.0,96.0
2016-06-13,23.0,96.0,23.0,96.0
2016-06-14,24.0,100.0,23.0,96.0
2016-06-15,24.0,100.0,23.0,96.0
2016-06-16,23.0,96.0,23.0,96.0
2016-06-17,24.0,100.0,23.0,96.0
2016-06-18,24.0,100.0,23.0,96.0
2016-06-19,23.0,96.0,23.0,96.0
2016-06-20,24.0,100.0,23.0,96.0
2016-06-21,23.0,96.0,23.0,96.0
2016-06-22,24.0,100.0,23.0,96.0
2016-06-23,24.0,100.0,23.0,96.0
2016-06-24,23.0,96.0,23.0,96.0
2016-06-25,24.0,100.0,23.0,96.0
2016-06-26,24.0,100.0,23.0,96.0
2016-06-27,23.0,96.0,23.0,96.0
2016-06-28,24.0,100.0,23.0,96.0
2016-06-29,21.0,88.0,3.0,13.0
2016-06-30,24.0,100.0,,
2016-07-01,24.0,100.0,19.0,79.0
2016-07-02,24.0,100.0,23.0,96.0
2016-07-03,23.0,96.0,23.0,96.0
2016-07-04,23.0,96.0,23.0,96.0
2016-07-05,24.0,100.0,23.0,96.0
2016-07-06,22.0,92.0,21.0,88.0
2016-07-07,24.0,100.0,23.0,96.0
2016-07-08,23.0,96.0,23.0,96.0
2016-07-09,24.0,100.0,23.0,96.0
2016-07-10,23.0,96.0,23.0,96.0
2016-07-11,24.0,100.0,23.0,96.0
2016-07-12,24.0,100.0,23.0,96.0
2016-07-13,24.0,100.0,23.0,96.0
2016-07-14,23.0,96.0,23.0,96.0
